Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
"A Bastard's Tale",-1,5,5,0.120574276200792
A Boy and His Blob,7,15,19,0.158142279553675
A Case of Distrust,12,5,12,0.194161782836013
A Dark Room,-3,8,6,0.141555302796419
A Day Without Me,-20,11,3,0.165659829469451
A Duel Hand Disaster: Trackher,-1,5,5,0.149655278056952
A Familiar Fairytale: Dyslexic Text Based Adventure,-20,13,5,0.174890244346079
"A Fisherman's Tale",3,9,12,0.193201204244423
A Fold Apart,14,17,23,0.129049110709996
A Game of Thrones: The Board Game - Digital Edition,-3,8,8,0.171662923057183
"A Gummy's Life",-1,3,3,9.08367719933833e-02
A HERO AND A GARDEN,6,4,7,9.70928131017057e-02
A Hand With Many Fingers,-2,10,8,0.192183635279362
A Hat in Time,36,17,35,0.176470540838764
A Hat in Time: Nyakuza Metro,-5,9,9,0.205035030478233
A Hat in Time: Seal the Deal,0,6,6,0.128463796280561
A Hero and a Garden,7,4,9,0.144283003564283
A Hole New World,-20,26,18,0.175024130949946
"A King's Tale: Final Fantasy XV",18,6,13,0.141502148879219
A Kingdom for Keflings,-3,8,8,0.126135177463833
A Knight Never Yields,-8,6,2,0.0817066910104
"A Knight's Quest",-14,36,31,0.182721349698064
A Long Way Down,6,9,11,0.20407042600839
A Lozenge,-9,10,7,0.173904864569571
A Magical High School Girl,-6,5,2,0.10486376262707
A Monsteca Corral: Monsters vs. Robots,-5,6,6,0.138742855070918
"A Monster's Expedition",-20,14,6,0.149589528998937
"A NIGHTMARE'S TRIP",-15,8,1,0.126788387164962
A Normal Lost Phone,-7,13,10,0.208823775005413
"A Painter's Tale: Curon, 1950",-20,11,4,0.174890244346079
A Pixel Story,16,9,15,0.159766651840887
A Place for the Unwilling,-15,14,8,0.204959745992856
A Plague Tale: Innocence,8,17,21,0.192159941681255
A Robot Named Fight!,-3,6,4,0.13589037683366
A Short Hike,-2,16,16,0.139209442432874
A Sound of Thunder,-3,3,2,9.91049631962976e-02
A Space For The Unbound - Prologue,1,5,6,0.129983537157721
A Space Shooter for 2 Bucks,1,3,4,9.91111920015578e-02
"A Street Cat's Tale",5,4,7,0.144295838703067
A Summer with the Shiba Inu,-18,18,11,0.125329253689472
"A Summer's End - Hong Kong 1986",6,7,12,0.170502389721997
A Tale of Paper,3,3,5,0.123785201249627
A Total War Saga: TROY,3,6,8,0.112992397852344
A Wake Inn,-15,13,8,0.214330983672299
A Walk in the Dark,7,4,6,0.135867660857333
A Way Out,-3,12,12,0.11269945970601
A Wild Time Travelling Clone Dancing,-14,9,2,0.145560385185495
"A Winter's Daydream",-3,14,16,0.169923915936369
A World of Keflings,-4,8,7,0.117256715223535
A World of Keflings: It Came From Outer Space,-3,5,3,0.13589037683366
"A World of Keflings: Sugar, Spice, and Not So Nice",18,2,9,0.163306624655396
A World of Keflings: The Curse of the Zombiesaurus,7,3,6,0.126895458611235
A-Men,-1,3,3,9.08367719933833e-02
A-Men 2,-9,10,7,0.184857174611753
A-Tech Cybernetic VR,6,4,7,0.137313345605099
A-Train 3D: City Simulator,1,5,6,0.138756202681971
A-Train Express,2,3,3,0.115580756020692
A-Train: All Aboard! Tourism,2,10,12,0.200194825449547
A.R.E.S. Extinction Agenda EX,-3,4,3,9.91049631962976e-02
ABBA: You Can Dance,-6,5,2,0.122170707605325
ABZU,-13,17,11,0.125861116037382
AC/DC Live: Rock Band Track Pack,16,9,18,0.117793917563159
ACA NEOGEO: Last Resort,-23,16,7,0.192993401655432
ACA NeoGeo - Garou: Mark of the Wolves,-17,12,4,0.166892891324613
ACA NeoGeo - Shock Troopers: 2nd Squad,-21,12,2,0.157118936988297
ACA NeoGeo - Top Hunter: Roddy & Cathy,5,12,15,0.228594561927567
ACA NeoGeo: 2020 Super Baseball,-18,12,4,0.172662885774337
ACA NeoGeo: Aero Fighters 2,-20,20,11,0.242646582039976
ACA NeoGeo: Aero Fighters 3,3,3,4,0.129978787816329
ACA NeoGeo: Alpha Mission II,-3,10,8,0.189089915351674
ACA NeoGeo: Art of Fighting,-8,13,11,0.202125116895314
ACA NeoGeo: Art of Fighting 2,-2,6,4,0.142939157386553
ACA NeoGeo: Art of Fighting 3,1,10,13,0.212571131954186
ACA NeoGeo: Baseball Stars 2,-9,12,8,0.191127546042238
ACA NeoGeo: Big Tournament Golf,0,12,14,0.206000362408364
ACA NeoGeo: Blazing Star,-8,13,9,0.183798453007313
"ACA NeoGeo: Blue's Journey",-5,10,11,0.176174342872814
ACA NeoGeo: Burning Fight,-11,15,14,0.253038489559064
ACA NeoGeo: Fatal Fury,-14,16,11,0.232795445928344
ACA NeoGeo: Fatal Fury 2,-37,21,5,0.221143921697627
ACA NeoGeo: Fatal Fury 3,-16,13,8,0.21705245499461
ACA NeoGeo: Fatal Fury Special,0,9,12,0.2116452531078
ACA NeoGeo: Galaxy Fight - Universal Warriors,5,7,10,0.169351218584279
ACA NeoGeo: Ghost Pilots,-2,5,5,0.104887307676511
ACA NeoGeo: Gururin,-8,7,4,0.13440527887685
"ACA NeoGeo: Karnov's Revenge",-22,17,9,0.220563573449515
ACA NeoGeo: King of the Monsters,-17,12,5,0.154673734325546
ACA NeoGeo: Magical Drop II,-1,8,7,0.159812767693596
ACA NeoGeo: Magical Drop III,3,8,8,0.173936809702352
ACA NeoGeo: Magician Lord,-18,16,9,0.231058673567555
ACA NeoGeo: Metal Slug,-13,19,16,0.181097947109688
ACA NeoGeo: Metal Slug 2,1,3,3,0.106746136294301
ACA NeoGeo: Metal Slug 3,-6,9,8,0.16102063977431
ACA NeoGeo: Metal Slug X,-20,11,5,0.201996800932781
ACA NeoGeo: Money Puzzle Exchanger,-3,6,6,0.162249008271092
ACA NeoGeo: Mutation Nation,-6,13,12,0.213480706050278
ACA NeoGeo: NAM-1975,3,11,15,0.147657830503421
ACA NeoGeo: Neo Turf Masters,-6,6,6,0.148318486200638
ACA NeoGeo: OverTop,-5,6,5,0.144295838703067
ACA NeoGeo: Power Spikes II,1,6,6,0.147006284333044
ACA NeoGeo: Prehistoric Isle 2,3,2,4,9.08299757588196e-02
ACA NeoGeo: Pulstar,-18,18,13,0.249063267899248
ACA NeoGeo: Puzzle Bobble,-2,3,2,8.86449594959785e-02
ACA NeoGeo: Puzzle Bobble 2,7,4,8,0.149630526134618
ACA NeoGeo: Puzzled,-9,5,1,0.106688289495426
ACA NeoGeo: Real Bout Fatal Fury,-23,15,5,0.208646327592176
